date,Vanguard U.S. Equity Index Fund GBP Acc,HSBC FTSE 250 Index Accumulation C,Fidelity Index US Fund P Accumulation
31/12/2014,271.01,1.997,
31/03/2015,286.11,2.138,
30/06/2015,270.19,2.202,
30/09/2015,259.89,2.107,
31/12/2015,284.48,2.216,
31/03/2016,293.24,2.159,
30/06/2016,323.29,2.062,
30/09/2016,347.15,2.297,
31/12/2016,379.75,2.351,
31/03/2017,396.60,2.47,
30/06/2017,392.87,2.56,
30/09/2017,397.41,2.63,
31/12/2017,418.60,2.76,
31/03/2018,400.97,2.6,
30/06/2018,442.18,2.81,
30/09/2018,478.88,2.76,
31/12/2018,419.54,2.39,
31/03/2019,467.22,2.61,
30/06/2019,497.52,2.69,2.2872
30/09/2019,519.19,2.78,2.3989
31/12/2019,526.17,3.1,2.4394
31/03/2020,443.91,2.16,2.1335
30/06/2020,543.30,2.44,2.5085
30/09/2020,565.94,2.45,2.62
31/12/2020,613.75,2.94,2.78
31/01/2021,608.81,2.92,2.7869
28/02/2021,616.99,3,2.7962
31/03/2021,646.83,3.11,2.9297
30/04/2021,677.53,3.22,3.07
31/05/2021,664.44,3.28,3.022
30/06/2021,699.04,3.24,3.161
31/07/2021,706.36,3.31,3.2078
31/08/2021,733.82,3.51,3.3644
30/09/2021,714.85,3.38,3.3227
31/10/2021,750.26,3.36,3.3988
30/11/2021,768.48,3.32,3.6061
31/12/2021,776.14,3.42,3.6411
